Question_ID,Category,Question,Weight,Required_Standard,Evaluation_Criteria
VND-DP-01,Data Protection,"Does the vendor encrypt all customer data at rest using AES-256 or stronger with customer-managed keys (KMS)?",5,"ISO 27001 A.8.24 / NIST PR.DS-1","Yes = Full Compliance; No = Automatic High Risk Finding"
VND-DP-02,Data Protection,"Is data in transit encrypted using TLS 1.3 or TLS 1.2 with secure cipher suites?",5,"NIST PR.DS-2 / ISO 27001 A.8.24","Yes = Required for production access"
VND-DP-03,Data Protection,"Does the vendor maintain logical data segregation between multi-tenant customer environments?",4,"SOC 2 CC6.1 / ISO 27001 A.8.20","Verified via independent penetration testing report"
VND-AC-01,Access & Identity,"Is Multi-Factor Authentication (MFA) strictly enforced for all administrative and employee accounts accessing customer data?",5,"CIS Benchmark 1.5 / NIST PR.AC-7","MFA mandatory without exception"
VND-AC-02,Access & Identity,"Are privileged access credentials rotated at least every 90 days or generated just-in-time (JIT)?",4,"ISO 27001 A.5.17 / NIST PR.AC-1","Must provide evidence of automated rotation"
VND-AC-03,Access & Identity,"Does the vendor perform quarterly user access reviews (UAR) for personnel with infrastructure access?",3,"SOC 2 CC6.3 / ISO 27001 A.5.18","Formal sign-off by security lead required"
VND-IR-01,Incident Response,"Does the vendor commit to a security incident notification SLA of under 72 hours for potential breaches?",5,"GDPR Art 33 / NIST RS.CO-1","Contractual breach notice SLA required"
VND-IR-02,Incident Response,"Has the vendor conducted a tabletop incident response exercise in the last 12 months?",3,"ISO 27001 A.5.24 / NIST IR.ET-1","After-action report summary provided"
VND-CO-01,Cloud Operations,"Are cloud environments continuously monitored with automated CIS Benchmark compliance scanning (e.g. AWS Config / Security Hub)?",4,"CIS Benchmark 2.1 / NIST DE.CM-1","Must demonstrate continuous compliance tooling"
VND-CO-02,Cloud Operations,"Does the vendor maintain automated infrastructure-as-code (IaC) drift detection and vulnerability scanning in CI/CD?",3,"ISO 27001 A.8.28 / NIST PR.IP-1","SCA and SAST pipeline integration"
VND-GV-01,Compliance & Governance,"Does the vendor hold an active, unqualified SOC 2 Type II examination report covering Security and Confidentiality?",5,"AICPA SOC 2 / ISO 27001 A.5.1","Report within 12 months with clean opinion"
VND-GV-02,Compliance & Governance,"Is the organization certified against ISO/IEC 27001:2022 by an accredited certification body?",4,"ISO 27001 / NIST CSF","Valid certificate with current scope"
VND-BC-01,Resilience & DR,"Is Recovery Time Objective (RTO) under 4 hours and Recovery Point Objective (RPO) under 1 hour tested annually?",4,"ISO 27001 A.8.14 / NIST PR.IP-9","Documented disaster recovery test results"
VND-TP-01,Subcontractor Risk,"Does the vendor evaluate and continuously monitor 4th-party sub-processors handling customer data?",3,"ISO 27001 A.5.19 / NIST ID.SC-1","Vendor risk register and DPA commitments"
