FindingID,CanonicalKey,ControlKey,Source,Title,Description,ResourceType,ResourceID,Severity,RiskScore,RemediationSLA_Days,Owner,ControlMapping,CIS_Match,ISO_NIST_Basis,ISO_27001_2022,NIST_CSF,CIS_AWS_Benchmark,RiskCategory,RemediationAction,Status,LoggedTimestamp,Environment
config-restricted-ssh-sg-06f92c30d1042feb2,CIS_5.2:sg-06f92c30d1042feb2,CIS_5.2,AWS Config,AWS Config Rule Failed: restricted-ssh,Resource sg-06f92c30d1042feb2 violated compliance rule restricted-ssh,AWS::EC2::SecurityGroup,sg-06f92c30d1042feb2,HIGH,8,7,Network Security Team,MAPPED,exact,analyst-assigned (indicative),"A.8.20 (Network Security), A.8.21 (Security of Network Services)","PR.AC-5 (Network Integrity & Access Controls), PR.PT-4 (Network Protection)",5.2 (Ensure no security groups allow ingress from 0.0.0.0/0 to port 22),Network Exposure / Unauthorized Access,"Update security group rules to restrict port 22 to specific bastion or VPN CIDR ranges, or replace SSH with AWS Systems Manager Session Manager.",OPEN,2026-09-19T23:40:25.686000+05:30,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/CloudTrail.1/finding/7013eb5a-de70-4607-ae48-9e39eef099ee,CIS_3.1:account,CIS_3.1,AWS Security Hub,CloudTrail should be enabled and configured with at least one multi-Region trail that includes read and write management events,This AWS control checks that there is at least one multi-region AWS CloudTrail trail includes read and write management events.,AwsAccount,account,HIGH,8,7,Security Operations,MAPPED,exact,analyst-assigned (indicative),"A.8.15 (Logging), A.8.16 (Monitoring Activities)","DE.CM-1 (Network and Asset Monitoring), PR.PT-1 (Audit Log Generation & Integrity)",3.1 (Ensure CloudTrail is enabled across all regions),Logging & Monitoring / Audit Trail,Enable multi-Region CloudTrail with management event logging and log file validation.,OPEN,2026-09-19T18:31:05.465Z,sandbox
config-s3-bucket-public-read-prohibited-cloud-compliance-demo-public-demo-oxcof074,CIS_2.1.5:cloud-compliance-demo-public-demo-oxcof074,CIS_2.1.5,AWS Config / AWS Security Hub,AWS Config Rule Failed: s3-bucket-public-read-prohibited,Resource cloud-compliance-demo-public-demo-oxcof074 violated compliance rule s3-bucket-public-read-prohibited,AWS::S3::Bucket,cloud-compliance-demo-public-demo-oxcof074,HIGH,8,7,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.5.15 (Access Control), A.8.24 (Use of Cryptography)","PR.AC-3 (Remote Access Management), PR.DS-1 (Data-at-Rest Protection)",2.1.5 (Ensure S3 Bucket Access is Restricted),Data Exposure / Confidentiality,Apply S3 Public Access Block at account and bucket level. Remove open principal wildcard (*) from bucket policy.,OPEN,2026-09-19T18:31:28.168Z,sandbox
config-iam-user-mfa-enabled-cloud-compliance-demo-contractor-no-mfa,CIS_1.10:cloud-compliance-demo-contractor-no-mfa,CIS_1.10,AWS Config / AWS Security Hub,AWS Config Rule Failed: iam-user-mfa-enabled,Resource cloud-compliance-demo-contractor-no-mfa violated compliance rule iam-user-mfa-enabled,AWS::IAM::User,cloud-compliance-demo-contractor-no-mfa,HIGH,8,7,Identity & Access Team,MAPPED,exact,analyst-assigned (indicative),"A.5.17 (Authentication Information), A.5.15 (Access Control)","PR.AC-1 (Identities and Credentials Issued), PR.AC-7 (Users Authenticated)",1.10 (Ensure MFA is enabled for all IAM users that have a console password),Identity Governance / Credential Compromise,Enforce virtual or hardware MFA via IAM policy (aws:MultiFactorAuthPresent) or migrate IAM users to AWS IAM Identity Center (SSO).,OPEN,2026-09-19T18:31:48.814Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.5/finding/b65bf1d2-922f-47ca-bd9d-bdaeacec4800,CIS_2.1.2:cloud-compliance-demo-config-cezeajty,CIS_2.1.2,AWS Security Hub,S3 general purpose buckets should require requests to use TLS,This control checks whether an Amazon S3 general purpose bucket has a policy that requires requests to use TLS. The control fails if the bucket policy doesn't require requests to use TLS.,AwsS3Bucket,cloud-compliance-demo-config-cezeajty,MEDIUM,5,30,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.20 (Network Security), A.8.24 (Use of Cryptography)","PR.DS-2 (Data-in-Transit Protection), PR.PT-4 (Network Protection)",2.1.2 (Ensure S3 Bucket Policy Requires Requests to Use TLS),Data Confidentiality / Cryptographic Controls,Attach bucket policy with Deny statement for Condition aws:SecureTransport = false.,OPEN,2026-09-19T18:31:00.291Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.5/finding/c9571292-d3fc-4be7-9349-36d18211fb2f,CIS_2.1.2:cloud-compliance-demo-public-demo-oxcof074,CIS_2.1.2,AWS Security Hub,S3 general purpose buckets should require requests to use TLS,This control checks whether an Amazon S3 general purpose bucket has a policy that requires requests to use TLS. The control fails if the bucket policy doesn't require requests to use TLS.,AwsS3Bucket,cloud-compliance-demo-public-demo-oxcof074,MEDIUM,5,30,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.20 (Network Security), A.8.24 (Use of Cryptography)","PR.DS-2 (Data-in-Transit Protection), PR.PT-4 (Network Protection)",2.1.2 (Ensure S3 Bucket Policy Requires Requests to Use TLS),Data Confidentiality / Cryptographic Controls,Attach bucket policy with Deny statement for Condition aws:SecureTransport = false.,OPEN,2026-09-19T18:31:56.622Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.1/finding/8333f987-366e-4d13-bbd0-c576cd065444,CIS_2.1.5:account,CIS_2.1.5,AWS Security Hub,S3 general purpose buckets should have block public access settings enabled,This control checks whether the preceding Amazon S3 block public access settings are configured at the account level for an S3 general purpose bucket. The control fails if one or more of the block public access settings are set to false.,AwsAccount,account,MEDIUM,5,30,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.5.15 (Access Control), A.8.24 (Use of Cryptography)","PR.AC-3 (Remote Access Management), PR.DS-1 (Data-at-Rest Protection)",2.1.5 (Ensure S3 Bucket Access is Restricted),Data Exposure / Confidentiality,Apply S3 Public Access Block at account and bucket level. Remove open principal wildcard (*) from bucket policy.,OPEN,2026-09-19T18:30:51.022Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/S3.5/finding/ce5a8d1a-fb69-4c75-9b53-56e8b4fe5e81,CIS_2.1.2:cloud-compliance-demo-risk-register-adlqd9up,CIS_2.1.2,AWS Security Hub,S3 general purpose buckets should require requests to use TLS,This control checks whether an Amazon S3 general purpose bucket has a policy that requires requests to use TLS. The control fails if the bucket policy doesn't require requests to use TLS.,AwsS3Bucket,cloud-compliance-demo-risk-register-adlqd9up,MEDIUM,5,30,Data Protection Team,MAPPED,exact,analyst-assigned (indicative),"A.8.20 (Network Security), A.8.24 (Use of Cryptography)","PR.DS-2 (Data-in-Transit Protection), PR.PT-4 (Network Protection)",2.1.2 (Ensure S3 Bucket Policy Requires Requests to Use TLS),Data Confidentiality / Cryptographic Controls,Attach bucket policy with Deny statement for Condition aws:SecureTransport = false.,OPEN,2026-09-19T18:31:56.622Z,sandbox
arn:aws:securityhub:us-east-1:123456789012:security-control/IAM.15/finding/c4b5f43e-1640-4db2-ba82-c4314d4282d8,CIS_1.8:account,CIS_1.8,AWS Security Hub,Ensure IAM password policy requires minimum password length of 14 or greater,"Password policies are, in part, used to enforce password complexity requirements. IAM password policies can be used to ensure passwords are at least a given length. It is recommended that the password policy require a minimum password length 14.",AwsAccount,account,MEDIUM,5,30,Identity & Access Team,MAPPED,exact,analyst-assigned (indicative),A.5.17 (Authentication Information),PR.AC-1 (Identities and Credentials Issued),1.8 (Ensure IAM password policy requires minimum length of 14 or greater),Identity Governance / Credential Compromise,Update IAM account password policy to require MinimumPasswordLength >= 14.,OPEN,2026-09-19T18:31:27.778Z,sandbox
config-encrypted-volumes-vol-0d35a3ca9a7c6de4b,CIS_2.2.1:vol-0d35a3ca9a7c6de4b,CIS_2.2.1,AWS Config / AWS Security Hub,AWS Config Rule Failed: encrypted-volumes,Resource vol-0d35a3ca9a7c6de4b violated compliance rule encrypted-volumes,AWS::EC2::Volume,vol-0d35a3ca9a7c6de4b,MEDIUM,5,30,Data Protection Team,MAPPED,closest,analyst-assigned (indicative),A.8.24 (Use of Cryptography),PR.DS-1 (Data-at-Rest Protection),2.2.1 (Ensure EBS Volume Encryption is Enabled),Data Confidentiality / Cryptographic Controls,Enable EBS default encryption using AWS KMS (aws/ebs or customer-managed CMK). Snapshot volume and re-create with encryption enabled.,OPEN,2026-09-19T18:30:58.096Z,sandbox
